date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
,,,,,,,,,,,
1/01/2006,IDN,IDR,Indonesia,14600,9460,1.543340381,-0.42197,-0.56078,-0.5346,-0.29435,0.1853
1/01/2006,JPN,JPY,Japan,250,114.305,2.187130922,-0.18085,-0.37756,-0.34046,0,0.67974
,,,,,,,,,,,
1/01/2006,MEX,MXN,Mexico,28,10.5425,2.655916528,-0.00527,-0.24415,-0.19909,0.21434,1.03977
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2006,RUS,RUB,Russia,46,28.67,1.604464597,-0.39908,-0.54339,-0.51616,-0.26641,0.23224
,,,,,,,,,,,
1/01/2006,ZAF,ZAR,South Africa,13.95,6.0803,2.294294689,-0.14071,-0.34707,-0.30814,0.049,0.76204
1/01/2006,KOR,KRW,South Korea,2500,977.45,2.557675584,-0.04207,-0.27211,-0.22872,0.16942,0.96432
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2006,TUR,TRY,Turkey,4.1,1.3365,3.067714179,0.14896,-0.12696,-0.07491,0.40262,1.35603
1/01/2006,USA,USD,United States,2.67,1,2.67,0,-0.24014,-0.19485,0.22078,1.05059
,,,,,,,,,,,
1/05/2006,ARG,ARS,Argentina,7,3.0565,2.290201211,-0.17619,-0.39202,-0.3722,0.02697,0.75059
1/05/2006,AUS,AUD,Australia,3.25,1.33253,2.438969479,-0.12267,-0.35253,-0.33142,0.09368,0.8643
1/05/2006,BRA,BRL,Brazil,6.4,2.3045,2.777175092,-0.00102,-0.26275,-0.23871,0.24534,1.12282
1/05/2006,GBR,GBP,Britain,1.94,0.531801744,3.647976002,0.31222,-0.03158,0,0.63583,1.78844
1/05/2006,CAN,CAD,Canada,3.52,1.12045,3.141594895,0.13007,-0.166,-0.13881,0.40875,1.40138
,,,,,,,,,,,
1/05/2006,CHN,CNY,China,10.5,8.026,1.308248193,-0.52941,-0.6527,-0.64138,-0.41336,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2006,IDN,IDR,Indonesia,14600,9325,1.565683646,-0.4368,-0.58436,-0.57081,-0.29792,0.19678
1/05/2006,JPN,JPY,Japan,250,112.105,2.230052183,-0.19782,-0.40799,-0.38869,0,0.70461
,,,,,,,,,,,
1/05/2006,MEX,MXN,Mexico,29,11.3031,2.565667826,-0.0771,-0.31889,-0.29669,0.1505,0.96115
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2006,RUS,RUB,Russia,48,27.06375,1.773590134,-0.36202,-0.52917,-0.51382,-0.20469,0.3557
1/05/2006,SAU,SAR,Saudi Arabia,9,3.749,2.400640171,-0.13646,-0.3627,-0.34193,0.0765,0.835
,,,,,,,,,,,
1/05/2006,ZAF,ZAR,South Africa,13.95,6.597,2.114597544,-0.23935,-0.43864,-0.42034,-0.05177,0.61636
1/05/2006,KOR,KRW,South Korea,2500,952.4,2.624947501,-0.05577,-0.30316,-0.28044,0.17708,1.00646
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2006,TUR,TRY,Turkey,4.2,1.5415,2.724618878,-0.01992,-0.2767,-0.25311,0.22177,1.08265
,,,,,,,,,,,
,,,,,,,,,,,
1/05/2006,USA,USD,United States,2.78,1,2.78,0,-0.262,-0.23793,0.24661,1.12498
,,,,,,,,,,,
,,,,,,,,,,,
1/01/2007,ARG,ARS,Argentina,8.25,3.08875,2.670983408,-0.07578,-0.29881,-0.30329,0.15983,0.88773
1/01/2007,AUS,AUD,Australia,3.45,1.266865,2.723257806,-0.0577,-0.28509,-0.28966,0.18253,0.92467
1/01/2007,BRA,BRL,Brazil,6.4,2.1335,2.999765643,0.03798,-0.2125,-0.21753,0.30259,1.1201
1/01/2007,GBR,GBP,Britain,1.94,0.506034461,3.833731,0.32655,0.00644,0,0.66473,1.70951
