date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/07/2013,CHN,CNY,China,16,6.1341,2.608369606,-0.37599,-0.44019,-0.35116,-0.18403,0
1/07/2013,COL,COP,Colombia,8600,1921,4.476834982,0.07101,-0.03918,0.11362,0.40048,0.71633
1/07/2013,CRI,CRC,Costa Rica,2150,498.675,4.311425277,0.03144,-0.07468,0.07248,0.34874,0.65292
1/07/2013,CZE,CZK,Czech Republic,70.45,20.1828,3.490595953,-0.16493,-0.25085,-0.13171,0.09196,0.33823
1/07/2013,DNK,DKK,Denmark,28.5,5.8006,4.913284833,0.17543,0.05449,0.22219,0.53701,0.88366
1/07/2013,EGY,EGP,Egypt,16.75,7.00915,2.38973342,-0.42829,-0.48711,-0.40555,-0.25242,-0.08382
1/07/2013,EUZ,EUR,Euro area,3.623870489,0.777756173,4.659391484,0.11469,0,0.15903,0.45759,0.78632
1/07/2013,HKG,HKD,Hong Kong,17,7.75665,2.191667795,-0.47568,-0.52962,-0.45482,-0.31438,-0.15976
1/07/2013,HUN,HUF,Hungary,860,228.462,3.76430216,-0.09945,-0.1921,-0.06362,0.17758,0.44316
1/07/2013,IND,INR,India,90,59.98,1.500500167,-0.64103,-0.67796,-0.62675,-0.5306,-0.42474
1/07/2013,IDN,IDR,Indonesia,27939,9965,2.803712995,-0.32926,-0.39827,-0.30257,-0.12292,0.07489
1/07/2013,ISR,ILS,Israel,17.5,3.64595,4.799846405,0.14829,0.03014,0.19397,0.50153,0.84017
1/07/2013,JPN,JPY,Japan,320,100.105,3.196643524,-0.23525,-0.31394,-0.20483,0,0.22553
1/07/2013,MYS,MYR,Malaysia,7.3,3.1805,2.295236598,-0.4509,-0.5074,-0.42906,-0.28199,-0.12005
1/07/2013,MEX,MXN,Mexico,37,12.94115,2.859096757,-0.31601,-0.38638,-0.28879,-0.10559,0.09612
1/07/2013,NZL,NZD,New Zealand,5.5,1.279344975,4.299075001,0.02849,-0.07733,0.0694,0.34487,0.64818
1/07/2013,NOR,NOK,Norway,46,6.1281,7.506404922,0.79579,0.61103,0.86723,1.34821,1.87781
